"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,0,-47.99141554,-116.44150023,436.22,161.33,-73.11,260.82945466,-33.23487593,1629685806,FALSE
"MARS ORBITER MISSION",39370,1,270,-99.14216143,-6399.59,0,-89.89,267.30188766,-17.26088733,1629685807,FALSE
"RESOURCESAT 2",37387,2,-7.23157264,117.53957336,821.37,119.08,-14.71,184.22498882,-31.44296664,1629685810,FALSE
"YOUTHSAT",37388,3,71.72298251,111.09811073,811.63,11.6,-22.63,251.28218007,48.42369278,1629685812,FALSE
"SWAYAM",41607,4,-71.70295541,-57.39706976,523.51,194.73,-58.77,278.41648544,-47.26332992,1629685813,TRUE
"CARTOSAT 2AT",29710,5,-63.25535484,-32.76859993,504.85,207.77,-56.2,289.08829524,-45.95756236,1629685814,TRUE
"OCEANSAT 2",35931,6,13.22654624,-40.93560078,725.88,293.09,-54.36,299.81615225,-1.50714799,1629685818,TRUE
"IRNSS-1A",39199,7,-13.08317456,58.82238631,35862.41,213.79,48.12,64.46692122,-17.93668078,1629685821,FALSE
"INS-1A",41949,8,-4.99926947,106.880716,484.84,125.86,-11.47,178.7238542,-37.17991568,1629685822,FALSE
"KALAMSAT-V2/PSLV",43948,9,-74.90205042,17.18916429,466.77,193.5,-48.24,283.84531625,-57.27118163,1629685823,FALSE
"CHINASAT 2E",49062,10,-7.69658497,166.61703836,24784.64,97.87,-12.07,186.76500691,-10.84632103,1629685824,FALSE
"COSMOS 2550",48865,11,-51.88212334,-20.01073755,479.72,220.41,-52.97,299.26492758,-42.60976043,1629685825,TRUE
"CHALLENGEONE",47956,12,-50.68012937,135.92538359,581.6,147.36,-39.58,222.27942951,-53.98916144,1629685827,FALSE
"CALSPHERE 1",900,13,87.99243194,21.70297031,1006.36,358.22,-30.02,269.68524018,42.58885895,1629685828,FALSE
"HISPASAT 1D",27528,14,1.48079533,-142.94489296,35782.46,69.38,-50.56,230.93519486,-0.9069747,1629685829,FALSE
"INTEGRAL",27540,15,60.76553758,-161.87940032,121594.77,25.13,-1.14,211.80530895,59.18512358,1629685830,FALSE
"ASIASAT 4",27718,16,-0.19986989,38.17747577,35789.05,250.36,39.97,41.15105441,-3.18446965,1629685831,FALSE
"INMARSAT 4-F1",28628,17,2.93388965,143.56312543,35772.39,94.83,16.28,160.48054254,0.4910169,1629685832,FALSE
"CUBESAT XI-V",28895,18,-17.39892472,175.13634484,698.86,104.71,-48.18,223.09867667,-22.46366348,1629685833,FALSE
"PAKSAT 1R",37779,19,0.00790236,38.01314244,35772.12,250.74,39.91,40.97797288,-2.95364793,1629685834,FALSE
"NIGERIASAT X",37790,20,11.91816356,98.85448272,695.35,102.62,5.78,168.08982467,-9.93253757,1629685835,FALSE
"INTELSAT 20",38740,21,-0.03388014,68.47581012,35787.92,210.53,66.57,75.78897034,-3.06224682,1629685836,FALSE
"SOCRATES",39768,22,-72.73339518,116.80680985,644.7,169.29,-44.29,250.9186059,-61.57659591,1629685837,FALSE
"TESS",43435,23,-11.29173643,42.02553775,256898.3,234.06,42.96,50.22523736,-11.98852187,1629685839,FALSE
"KEPLER-2 (TARS)",46319,24,-22.8062949,-58.66033257,541.62,255.33,-68.91,289.39310061,-21.51817712,1629685840,TRUE
"info.satname","info.satid","info.transactionscount","positions.satlatitude","positions.satlongitude","positions.sataltitude","positions.azimuth","positions.elevation","positions.ra","positions.dec","positions.timestamp","positions.eclipsed"
"SPACE STATION",25544,25,5.41718915,-0.66335728,420.5,272.07,-36.76,328.90433209,-8.83225967,1629687603,TRUE
"MARS ORBITER MISSION",39370,26,270,-106.65016148,-6399.59,360,-89.89,274.81000418,-17.27665983,1629687604,FALSE
"RESOURCESAT 2",37387,27,-65.19790852,-49.75909295,844.9,202.85,-58.74,291.4000128,-45.44831891,1629687606,TRUE
"YOUTHSAT",37388,28,-32.89159368,71.90236828,826.55,187.18,-17.97,359.10958615,-83.25626558,1629687607,FALSE
